城市收入,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
?北??京,32903.03,36468.75,40321,48531.8,52859.2,57275.31079,62406.34222,67989.88886,73848.51337,69433.53964
?天??津,26920.86,29626.41,32293.6,31506,34101.3,37109.57286,40277.53931,42976.25264,46118.88892,43854.09361
?河??北,18292.23,20543.44,22580.3,24141.3,26152.2,28249.39182,30547.75811,32977.17583,35737.68343,27135.93668
?山??西,18123.87,20411.71,22455.6,24069.4,25827.7,27352.33097,29131.80796,31034.80226,33262.36558,25213.67066
?内蒙古,20407.57,23150.26,25496.7,28349.6,30594.1,32974.94643,35670.02049,38304.67874,40782.45901,31497.31528
?辽??宁,20466.84,23222.67,25578.2,29081.7,31125.7,32876.09038,34993.39031,37341.92868,39777.20413,32738.27652
?吉??林,17796.57,20208.04,22274.6,23217.8,24900.9,26530.41661,28318.74937,30171.93727,32299.17945,25751.03403
?黑龙江,15696.18,17759.75,19597,22609,24202.6,25736.43232,27445.99264,29191.32576,30944.61761,24901.97256
?上??海,36230.48,40188.34,43851.4,48841.4,52961.9,57691.66936,62595.73758,68033.62414,73615.32275,72232.4
?江??苏,26340.73,29676.97,32537.5,34346.3,37173.5,40151.59444,43621.75304,47199.96701,51056.10764,43390.35145
?浙??江,30970.68,34550.3,37850.8,40392.7,43714.5,47237.17834,51260.73102,55574.30954,60182.28832,52397.40303
?安??徽,18606.13,21024.21,23114.2,24838.5,26935.8,29155.98415,31640.31672,34393.08489,37540.03575,28103.18643
?福??建,24907.4,28055.24,30816.4,30722.4,33275.3,36014.2605,39001.35876,42121.311,45620.45562,37202.42802
?江??西,17494.87,19860.36,21872.7,24309.2,26500.1,28673.27631,31198.06464,33819.39556,36545.89813,28016.50765
?山??东,22791.84,25755.19,28264.1,29221.9,31545.3,34012.08426,36789.35485,39549.43206,42329.23351,32885.67946
?河??南,18194.8,20442.62,22398,23672.1,25575.6,27232.92014,29557.85889,31874.18793,34200.97088,24810.10069
?湖??北,18373.87,20839.59,22906.4,24852.3,27051.5,29385.79697,31889.41518,34454.6274,37601.35958,27880.5963
?湖??南,18844.05,21318.76,23414,26570.2,28838.1,31283.89343,33947.93511,36698.25386,39841.92529,29379.85992
?广??东,26897.48,30226.71,33090,32148.1,34757.2,37684.25234,40975.14014,44340.97025,48117.55321,41028.63353
?广??西,18854.06,21242.8,23305.4,24669,26415.9,28324.43488,30502.06822,32436.06711,34744.86694,24562.34859
?海??南,18368.95,20917.71,22928.9,24486.5,26356.4,28453.47122,30817.37418,33348.65211,36016.6995,27904.07721
?重??庆,20249.7,22968.14,25216.1,25147.2,27238.8,29609.96374,32193.22786,34889.30052,37938.59107,30823.93373
?四??川,17899.12,20306.99,22367.6,24234.4,26205.3,28335.29795,30726.86812,33215.91257,36153.73207,26522.06227
?贵??州,16495.01,18700.51,20667.1,22548.2,24579.6,26742.61149,29079.84378,31591.9301,34404.16547,21795.40486
?云??南,18575.62,21074.5,23235.5,24299,26373.2,28610.57307,30995.8754,33487.94069,36237.68092,23294.88769
?西??藏,16195.56,18028.32,20023.4,22015.8,25456.6,27802.39307,30671.12967,33797.3828,37409.97388,21744.09531
?陕??西,18245.23,20733.88,22858.4,24365.8,26420.2,28440.09013,30810.25538,33319.25224,36098.20861,26226.02856
?甘??肃,14988.68,17156.89,18964.8,21803.9,23767.1,25693.49231,27763.40442,29957.00284,32323.44964,20335.10884
?青??海,15603.31,17566.28,19498.5,22306.6,24542.3,26757.40524,29168.85599,31514.52632,33830.33086,24037.35767
?宁??夏,17578.92,19831.41,21833.3,23284.6,25186,27153.00807,29472.27827,31895.21672,34328.45111,25734.94498
?新??疆,15513.62,17920.68,19873.8,23214,26274.7,28463.42739,30774.80296,32763.54647,34663.73337,23844.72777
,,,,,,,,,,
支出,2011,2012,13,14,15,16,17,18,19,20
?北??京,21984.37,24045.86,26274.89,33717.5,36642,38255.52009,40346.28592,42925.64798,46358.17449,38903.27435
?天??津,18424.09,20024.24,21711.86,24289.6,26229.5,28344.58325,30283.64659,32655.10997,34810.71729,28461.40714
?河??北,11609.29,12531.12,13640.58,16203.8,17586.6,19105.88917,20600.34829,22127.41539,23483.05463,18037.04175
?山??西,11354.3,12211.53,13166.19,14636.9,15818.6,16992.81549,18403.9791,19789.84092,21158.99321,15732.68209
?内蒙古,15878.07,17717.1,19249.06,20885.2,21876.5,22744.45206,23637.76007,24437.05772,25382.544,19794.48933
,,,,,,,,,,
?辽??宁,14789.61,16593.6,18029.65,20519.6,21556.7,24995.89461,25379.43983,26447.87395,27355.03193,20672.12922
?吉??林,13010.63,14613.53,15932.31,17156.1,17972.6,19166.37659,20051.24128,22393.70653,23394.28118,17317.67938
?黑龙江,12054.19,12983.55,14161.71,16466.6,17152.1,18145.16206,19269.75223,21035.46425,22164.91141,17056.41673
,,,,,,,,,,
?上??海,25102.14,26253.47,28155,35182.4,36946.1,39856.75606,42304.33643,46015.21105,48271.57414,42536.29428
?江??苏,16781.74,18825.28,20371.48,23476.3,24966,26432.93063,27726.32719,29461.94847,31329.14641,26225.14738
?浙??江,20437.45,21545.18,23257.19,27241.7,28661.3,30067.66285,31924.23169,34597.9177,37507.855,31294.72116
?安??徽,13181.46,15011.66,16285.17,16107.1,17233.5,19606.24737,20740.24426,21522.72073,23781.53822,18877.26389
?福??建,16661.05,18593.21,20092.72,22204.1,23520.2,25005.52434,25980.45291,28145.12898,30945.54846,25125.79329
?江??西,11747.21,12775.65,13850.51,15141.8,16731.8,17695.6482,19244.46106,20760.01718,22714.26736,17955.28103
?山??东,14560.67,15778.24,17112.24,18322.6,19853.8,21495.29076,23072.12196,24798.37912,26731.48901,20940.05421
,,,,,,,,,,
?河??南,12336.47,13732.96,14821.98,16184.5,17154.3,18087.79479,19422.27175,20989.15066,21971.56971,16142.626
?湖??北,13163.77,14495.97,15749.5,16681.4,18192.3,20040.03429,21275.63214,23995.90522,26421.77222,19245.94669
?湖??南,13402.87,14608.95,15887.11,18334.7,19501.4,21419.98904,23162.64249,25064.21415,26923.98515,20997.6229
?广??东,20251.82,22396.35,24133.26,23611.7,25673.1,28613.33061,30197.90655,30924.30758,34424.1216,28491.94422
?广??西,12848.37,14243.98,15417.62,15045.4,16321.2,17268.45489,18348.56014,20159.38861,21590.93859,16356.78457
?海??南,12642.75,14456.55,15593.04,17513.8,18448.4,19015.47174,20371.86146,22971.21104,25316.6642,18971.62012
,,,,,,,,,,
?重??庆,14974.49,16573.14,17813.86,18279.5,19742.3,21030.93857,22759.15804,24154.15416,25785.46259,21678.13652
?四??川,13696.3,15049.54,16343.45,17759.9,19276.8,20659.80868,21990.58242,23483.94085,25367.41279,19783.39138
?贵??州,11352.88,12585.7,13702.87,15254.6,16914.2,19201.68008,20347.7929,20787.93268,21402.38179,14873.77333
?云??南,12248.03,13883.93,15156.15,16268.3,17675,18622.39971,19559.71884,21626.41509,23454.85077,16792.41765
?西??藏,10398.91,11184.33,12231.86,15669.4,17022,19440.47552,21087.50652,23029.43696,25636.68627,13224.79736
,,,,,,,,,,
?陕??西,13782.75,15332.84,16679.69,17546,18463.9,19368.90464,20388.22276,21966.43123,23514.28113,17417.61979
?甘??肃,11188.57,12847.05,14020.72,15942.3,17450.9,19539.22163,20659.44639,22605.97044,24453.86994,16174.9483
?青??海,10955.46,12346.29,13539.5,17492.9,19200.6,20853.16644,21472.9857,22997.52793,23799.17496,18284.22819
?宁??夏,12896.04,14067.15,15321.1,17216.2,18983.9,20364.23313,20219.49052,21976.6915,24160.96336,17505.82127
?新??疆,11839.4,13891.72,15206.16,17684.5,19414.7,21228.50088,22796.91567,24191.39243,25594.2134,16512.0619
